28-04-2018 00:05:11.824 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [gov.nist.oar.distrib.storage.AWSS3LongTermStorageTest], using DelegatingSmartContextLoader
28-04-2018 00:05:12.198 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/TransactionDefinition]
28-04-2018 00:05:12.200 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
28-04-2018 00:05:12.200 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@41853299, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@60d40ff4, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2e5b7fba, org.springframework.test.context.support.DirtiesContextTestExecutionListener@27755487, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4f0cab0a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@fe7b6b0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7ab4ae59, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@77681ce4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5d96bdf8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6f76c2cc]
28-04-2018 00:05:12.237 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [gov.nist.oar.distrib.storage.AWSS3LongTermStorageTest], using DelegatingSmartContextLoader
28-04-2018 00:05:12.241 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [gov.nist.oar.distrib.storage.AWSS3LongTermStorageTest]: no resource found for suffixes {-context.xml}.
28-04-2018 00:05:12.242 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [gov.nist.oar.distrib.storage.AWSS3LongTermStorageTest]: AWSS3LongTermStorageTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
28-04-2018 00:05:12.266 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
28-04-2018 00:05:12.268 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/TransactionDefinition]
28-04-2018 00:05:12.270 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
28-04-2018 00:05:12.271 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@14f40030, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4c447c09, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@593a6726, org.springframework.test.context.support.DirtiesContextTestExecutionListener@596a7f44, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6dab01d9, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2e09c51, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@869d87c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2f3166a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@37637a24, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@31e76a8d]
28-04-2018 00:05:12.686 [main] INFO  o.s.c.s.GenericApplicationContext.prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@cb39552: startup date [Sat Apr 28 00:05:12 CEST 2018]; root of context hierarchy
28-04-2018 00:05:12.887 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor.<init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
28-04-2018 00:05:15.818 [main] INFO  g.n.o.d.storage.AWSS3LongTermStorage.findBagsFor -  Get the list of filenames from s3 bucket which matches the given identifier.
28-04-2018 00:05:16.174 [main] INFO  g.n.o.d.storage.AWSS3LongTermStorage.getSize -  getSize from s3 bucketnist-oar-dev-presand  file : 6376FC675D0E1D77E0531A5706812BC21886.mbag0_2-0.zip
28-04-2018 00:05:16.338 [main] INFO  g.n.o.d.storage.AWSS3LongTermStorage.openFile -  Read the file from s3 bucket ::nist-oar-dev-pres
28-04-2018 00:05:16.603 [main] INFO  g.n.o.d.storage.AWSS3LongTermStorage.getChecksum -  get the checksum from s3 bucket file.nist-oar-dev-pres
28-04-2018 00:05:17.140 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [gov.nist.oar.distrib.storage.FilesystemLongTermStorageTest], using DelegatingSmartContextLoader
28-04-2018 00:05:17.141 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [gov.nist.oar.distrib.storage.FilesystemLongTermStorageTest]: no resource found for suffixes {-context.xml}.
28-04-2018 00:05:17.142 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [gov.nist.oar.distrib.storage.FilesystemLongTermStorageTest]: FilesystemLongTermStorageTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
28-04-2018 00:05:17.173 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
28-04-2018 00:05:17.175 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/TransactionDefinition]
28-04-2018 00:05:17.177 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
28-04-2018 00:05:17.177 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@790431bf, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7b48451b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@ba1edf4, org.springframework.test.context.support.DirtiesContextTestExecutionListener@74f2593b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2ca307d3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@157affc1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@11306ed7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@776dd64b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@43c4daea, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@102a1a4]
28-04-2018 00:05:17.207 [main] INFO  o.s.c.s.GenericApplicationContext.prepareRefresh - Refreshing org.springframework.context.support.GenericApplicationContext@13d63185: startup date [Sat Apr 28 00:05:17 CEST 2018]; root of context hierarchy
28-04-2018 00:05:17.216 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor.<init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
28-04-2018 00:05:17.256 [main] INFO  g.n.o.d.s.FilesystemLongTermStorageTest.setDir - THIS dir::/tmp/ec2/
28-04-2018 00:05:17.261 [main] INFO  g.n.o.d.s.FilesystemLongTermStorageTest.setDir - THIS dir::/tmp/ec2/
28-04-2018 00:05:17.265 [main] INFO  g.n.o.d.s.FilesystemLongTermStorage.getSize - CheckFileSize0
28-04-2018 00:05:17.271 [main] INFO  g.n.o.d.s.FilesystemLongTermStorageTest.setDir - THIS dir::/tmp/ec2/
28-04-2018 00:05:17.276 [main] INFO  g.n.o.d.s.FilesystemLongTermStorageTest.setDir - THIS dir::/tmp/ec2/
28-04-2018 00:05:17.277 [main] INFO  g.n.o.d.s.FilesystemLongTermStorage.getChecksum - GetChecksumfor 6376FC675D0E1D77E0531A5706812BC21886.mbag0_2-0.zip
28-04-2018 00:05:17.277 [main] INFO  g.n.o.d.s.FilesystemLongTermStorage.getChecksum - Directory:/tmp/ec2/
28-04-2018 00:05:17.279 [main] INFO  g.n.o.d.s.FilesystemLongTermStorage.getChecksum - Check file name with path:/tmp/ec2/6376FC675D0E1D77E0531A5706812BC21886.mbag0_2-0.zip.sha256
28-04-2018 00:05:17.286 [main] INFO  g.n.o.d.s.FilesystemLongTermStorageTest.setDir - THIS dir::/tmp/ec2/
28-04-2018 00:05:17.325 [Thread-1] INFO  o.s.c.s.GenericApplicationContext.doClose - Closing org.springframework.context.support.GenericApplicationContext@cb39552: startup date [Sat Apr 28 00:05:12 CEST 2018]; root of context hierarchy
28-04-2018 00:05:17.349 [Thread-3] INFO  o.s.c.s.GenericApplicationContext.doClose - Closing org.springframework.context.support.GenericApplicationContext@13d63185: startup date [Sat Apr 28 00:05:17 CEST 2018]; root of context hierarchy
